Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,143.43375,-82.9,90.0,top
C10,0.1u,C_0402_1005Metric,111.75,-77.6224,0.0,top
C11,0.1u,C_0402_1005Metric,104.2416,-75.9968,-90.0,top
C12,0.1u,C_0402_1005Metric,110.49,-88.392,180.0,top
C13,0.1u,C_0402_1005Metric,104.2,-86.8,-90.0,top
C14,10u,C_0603_1608Metric,114.3,-85.4445,90.0,top
C15,10u,C_0603_1608Metric,99.06,-55.118,90.0,top
C16,4.7u,C_0402_1005Metric,146.7,-65.0,0.0,top
C17,0.1u,C_0402_1005Metric,140.0,-73.4,-90.0,top
C18,0.1u,C_0402_1005Metric,132.12,-65.8,180.0,top
C19,0.1u,C_0402_1005Metric,132.1,-63.4,180.0,top
C2,10u,C_0603_1608Metric,148.57125,-84.9,180.0,top
C20,0.1u,C_0402_1005Metric,132.4,-69.6,-90.0,top
C21,0.1u,C_0402_1005Metric,136.5,-73.4,-90.0,top
C22,0.1u,C_0402_1005Metric,138.3,-73.4,-90.0,top
C23,0.1u,C_0402_1005Metric,145.4,-71.18,-90.0,top
C24,0.1u,C_0402_1005Metric,146.7,-66.2,0.0,top
C25,0.1u,C_0402_1005Metric,146.2532,-61.3156,-90.0,top
C26,0.1u,C_0402_1005Metric,140.0,-58.1,90.0,top
C27,0.1u,C_0402_1005Metric,136.73375,-58.1,90.0,top
C28,4.7u,C_0402_1005Metric,144.4,-58.1,90.0,top
C29,0.1u,C_0402_1005Metric,141.732,-51.562,-90.0,top
C3,4.7u,C_0402_1005Metric,143.4,-87.9,90.0,top
C30,15p,C_0402_1005Metric,136.0,-77.3746,90.0,top
C31,15p,C_0402_1005Metric,140.6,-77.3,-90.0,top
C4,0.1u,C_0402_1005Metric,111.9632,-45.3644,0.0,top
C5,0.1u,C_0402_1005Metric,106.426,-45.3644,180.0,top
C6,0.1u,C_0402_1005Metric,111.75,-56.134,0.0,top
C7,0.1u,C_0402_1005Metric,104.2416,-54.5825,-90.0,top
C8,0.1u,C_0402_1005Metric,111.6,-66.9,180.0,top
C9,0.1u,C_0402_1005Metric,106.2,-66.8528,180.0,top
D1,PMEG3010ER,Nexperia_CFP3_SOD-123W,145.0,-47.0408,180.0,top
D2,PMEG3010ER,Nexperia_CFP3_SOD-123W,147.2,-50.9,90.0,top
D3,XZMDKCBDDG45S-9,LED_XZMDKCBDDG45S-9,147.2,-41.1,90.0,top
FID1,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,119.38,-38.1,0.0,top
FID2,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,96.52,-88.9,0.0,top
FID3,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,121.92,-88.9,0.0,top
FID4,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,149.86,-46.99,0.0,top
FID5,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,127.0,-88.9,0.0,top
FID6,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,152.4,-88.9,0.0,top
J1,Conn_01x20_PinHeader,PinHeader_1x20_P2.54mm_Vertical,152.4,-62.23,0.0,top
J10,Conn_01x20_PinHeader,PinHeader_1x20_P2.54mm_Vertical,116.84,-62.23,180.0,bottom
J11,Conn_01x20_PinHeader,PinHeader_1x20_P2.54mm_Vertical,101.6,-62.23,180.0,bottom
J2,Conn_01x20_PinSocket,PinSocket_1x20_P2.54mm_Vertical,96.52,-62.23,0.0,top
J3,Conn_01x20_PinHeader,PinHeader_1x20_P2.54mm_Vertical,127.0,-62.23,0.0,top
J4,Conn_01x20_PinSocket,PinSocket_1x20_P2.54mm_Vertical,121.92,-62.23,0.0,top
J5,GT-USB-7010ASV,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,139.7,-40.985,180.0,top
J8,Conn_01x02_PinSocket,PinSocket_1x02_P2.54mm_Vertical,115.57,-88.9,-90.0,top
J9,Conn_01x02_PinHeader,PinHeader_1x02_P2.54mm_Vertical,133.35,-88.9,90.0,top
R1,5.1k,R_0402_1005Metric,143.4,-45.3,0.0,top
R10,5.1k,R_0402_1005Metric,148.43375,-64.0,90.0,top
R11,330,R_0402_1005Metric,146.7,-58.1,90.0,top
R12,5.1k,R_0402_1005Metric,148.43375,-67.1975,-90.0,top
R13,330,R_0402_1005Metric,147.8,-58.1,90.0,top
R14,330,R_0402_1005Metric,145.6,-58.1,90.0,top
R15,10k,R_0402_1005Metric,99.06,-58.164,-90.0,top
R2,5.1k,R_0402_1005Metric,136.0,-45.3,180.0,top
R3,10,R_0402_1005Metric,143.3,-58.1,-90.0,top
R4,27,R_0402_1005Metric,141.1,-58.1,90.0,top
R5,27,R_0402_1005Metric,142.2,-58.1,-90.0,top
R6,10k,R_0402_1005Metric,133.096,-49.1744,180.0,top
R7,1k,R_0402_1005Metric,135.382,-49.1744,180.0,top
R8,1k,R_0402_1005Metric,146.1,-79.1,90.0,top
R9,1k,R_0402_1005Metric,141.6,-77.3,90.0,top
SW1,TS-1088-AR02016,TS-1088-xxxxxxx,131.3,-39.6,-90.0,top
U1,TLV74311PDBVR,SOT-23-5,146.27125,-82.45,180.0,top
U10,RP2350_80QFN,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,139.13375,-65.7965,0.0,top
U2,IP4234CZ6,SC-74-6_1.55x2.9mm_P0.95mm,139.7,-46.5,0.0,top
U3,AP2112K-3.3,SOT-23-5,146.2,-87.4,180.0,top
U4,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,109.22,-41.0,180.0,top
U5,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,108.9825,-51.75,180.0,top
U6,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,108.9825,-62.5,180.0,top
U7,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,108.9825,-73.25,180.0,top
U8,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,108.9825,-84.0,180.0,top
U9,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,136.13375,-53.0,0.0,top
Y1,ABM8-272-T3,XTAL_ABM8-272-T3,138.3,-77.3,0.0,top
